t,lambda_final,rho_final,c_final,cov_trace_final,m_train
6259,0.6117492149510104,1.0,0.9989005933333841,0.0005500057287199111,1
6260,0.6202183236480735,0.951229424500714,0.9989168460888289,0.0005418704731533306,0
6261,0.6288730655315908,0.9048374180359595,0.9989125409694833,0.0005440253715512665,0
6262,0.6376821534988273,0.8607079764250578,0.9989143361291158,0.0005431268153985481,0
6263,0.6466177211217806,0.8187307530779818,0.9989278574484389,0.0005363588537613421,0
6264,0.6117444887874072,1.0,0.9989287889888612,0.0005358925838596086,1
6265,0.6117440474346137,1.0,0.9989314221010612,0.0005345746176748554,1
6266,0.620217063482654,0.951229424500714,0.9989241926251713,0.0005381932354752148,0
6267,0.6288746406482645,0.9048374180359595,0.9989035359199795,0.0005485328182617281,0
6268,0.6376781920110434,0.8607079764250578,0.9989366225245482,0.0005319716312058632,0
6269,0.6117515388825204,1.0,0.9988867295083467,0.0005569453187749645,1
6270,0.6117438861151878,1.0,0.9989323845358753,0.0005340928857315159,1
6271,0.6117474155826901,1.0,0.9989113279818426,0.0005446325259954803,1
6272,0.6117431046943473,1.0,0.9989370465273868,0.0005317594041541117,1
6273,0.6202210257291003,0.951229424500714,0.9989010937050304,0.0005497552676007805,0
6274,0.6117439053903563,1.0,0.9989322695397745,0.0005341504452366679,1
6275,0.620215934788033,0.951229424500714,0.9989307727759285,0.0005348996276452458,0
6276,0.611746677603133,1.0,0.9989157306608075,0.0005424287922208931,1
6277,0.6117410059181014,1.0,0.9989495680812471,0.0005254920045084403,1
6278,0.6202197709763372,0.951229424500714,0.9989084085219898,0.000546093848956407,0
6279,0.6288674388122346,0.9048374180359595,0.9989447102068517,0.0005279235017343769,0
6280,0.6117464315835517,1.0,0.9989171983843966,0.0005416941343984714,1
6281,0.6202226008532261,0.951229424500714,0.9988919113310984,0.0005543515265269941,0
6282,0.6288696816301372,0.9048374180359595,0.9989318873372219,0.0005343417508122962,0
6283,0.6117494668332498,1.0,0.9988990906713404,0.0005507578872350036,1
6284,0.6202184641642339,0.951229424500714,0.9989160269098156,0.0005422805069576239,0
6285,0.6288682559893398,0.9048374180359595,0.9989400381318544,0.0005302620125024624,0
6286,0.6376805866555427,0.8607079764250578,0.9989231507430322,0.0005387147378525501,0
