t,lambda_final,rho_final,c_final,cov_trace_final,m_train
2298,0.6923299053715037,0.6376281516217733,0.9989060670508825,0.0005472658652452098,0
2299,0.7015005078688369,0.6065306597126334,0.9989230629916692,0.0005387586608343876,0
2300,0.611746159439113,1.0,0.9989188219695447,0.0005408814625217519,1
2301,0.6202227814235977,0.951229424500714,0.9988908586822702,0.0005548784350797885,0
2302,0.6117479320721996,1.0,0.9989082466976614,0.0005461748495467361,1
2303,0.6117534141700075,1.0,0.9988755423588812,0.0005625451589677501,1
2304,0.620218228337165,0.951229424500714,0.9989174017314849,0.0005415923506531181,0
2305,0.6117470387611429,1.0,0.9989135760408876,0.000543507272706008,1
2306,0.6202220987836692,0.951229424500714,0.9988948381923929,0.0005528864746163272,0
2307,0.6288773501288514,0.9048374180359595,0.9988880458920717,0.0005562863937843997,0
2308,0.6117524726637857,1.0,0.9988811589520132,0.0005597337089406495,1
2309,0.6202204472461658,0.951229424500714,0.9989044660704904,0.0005480672327250098,0
2310,0.6288803783660105,0.9048374180359595,0.9988707339267568,0.0005649520873056217,0
2311,0.6376832349429852,0.8607079764250578,0.9989082522909042,0.0005461720498687909,0
2312,0.6466240510957181,0.8187307530779818,0.9988927035317282,0.000553954986968168,0
2313,0.6556637932771899,0.7788007830714049,0.9988943801473238,0.0005531157505904663,0
2314,0.6647838663867595,0.7408182206817179,0.9988715656015483,0.0005645357799612606,0
2315,0.6117471216782212,1.0,0.9989130813697777,0.0005437548773257643,1
2316,0.6202233901761284,0.951229424500714,0.9988873099243584,0.0005566547874134202,0
2317,0.6288784911259155,0.9048374180359595,0.9988815229398759,0.0005595515111921358,0
2318,0.6117503836791358,1.0,0.9988936210427102,0.0005534957231466551,1
2319,0.6117480409382061,1.0,0.9989075972243248,0.0005464999412405524,1
2320,0.6202264040060456,0.951229424500714,0.9988697408941039,0.0005654491652121737,0
2321,0.6288695779468505,0.9048374180359595,0.9989324801210729,0.0005340450420563764,0
2322,0.6376813927968958,0.8607079764250578,0.998918615608925,0.0005409847545192925,0
2323,0.6117497349368703,1.0,0.9988974912405989,0.0005515584846311302,1
2324,0.6117513404404649,1.0,0.9988879133383188,0.0005563527444440985,1
2325,0.6117497259591353,1.0,0.9988975447991774,0.0005515316757856601,1
2326,0.6117551163798396,1.0,0.9988653878779588,0.0005676281408343228,1
2327,0.6117453111485935,1.0,0.9989238828070932,0.000538348311370077,1
2328,0.6117471106207268,1.0,0.998913147337144,0.0005437218577541362,1
2329,0.611750191624234,1.0,0.9988947667811577,0.0005529222197393452,1
2330,0.6117471275317304,1.0,0.9989130464486151,0.0005437723569062618,1
2331,0.6117528109373193,1.0,0.9988791409622337,0.0005607438350201061,1
2332,0.6117461505448416,1.0,0.9989188750319011,0.0005408549026283007,1
2333,0.6117538846022776,1.0,0.9988727359940317,0.0005639499229612246,1
2334,0.6202203794845601,0.951229424500714,0.9989048610994509,0.00054786950166275,0
2335,0.6117567350190374,1.0,0.9988557320785745,0.0005724615479039582,1
2336,0.620224086099518,0.951229424500714,0.9988832530209207,0.0005586855028083564,0
2337,0.6288743155939343,0.9048374180359595,0.9989053942687526,0.0005476026248158394,0
